date,year,season,companyCode,companyName,genre,EPS,shareValue,revenue,netIncome,comprehensiveIcome,IncomeAfterTax
"1120101","111","3","2425","承啟科技股份有限公司","電腦及週邊設備業","3.26","新台幣                 10.0000元","4697112.00","259844.00","151782.00","338160.00"
"1120101","111","3","2426","鼎元光電科技股份有限公司","光電業","-0.38","新台幣                 10.0000元","1926323.00","97301.00","-180173.00","-116477.00"
"1120101","111","3","2427","三商電腦股份有限公司","資訊服務業","0.95","新台幣                 10.0000元","2661769.00","190585.00","38767.00","175450.00"
"1120101","111","3","2428","興勤電子工業股份有限公司","電子零組件業","9.40","新台幣                 10.0000元","5588278.00","1175415.00","410267.00","1214188.00"
"1120101","111","3","2429","銘旺科技股份有限公司","光電業","-0.80","新台幣                 10.0000元","402235.00","-28345.00","2080.00","-31928.00"
"1120101","111","3","2430","燦坤實業股份有限公司","電子通路業","3.23","新台幣                 10.0000元","17171157.00","572649.00","6202.00","469928.00"
"1120101","111","3","2431","聯昌電子企業股份有限公司","電子零組件業","-0.04","新台幣                 10.0000元","819577.00","-67349.00","78550.00","-4696.00"
"1120101","111","3","2433","互盛股份有限公司","其他電子業","3.16","新台幣                 10.0000元","2416797.00","339075.00","211409.00","473236.00"
"1120101","111","3","2434","統懋半導體股份有限公司","半導體業","-0.17","新台幣                 10.0000元","71496.00","-53279.00","47111.00","-6168.00"
"1120101","111","3","2436","偉詮電子股份有限公司","半導體業","0.78","新台幣                 10.0000元","2217395.00","262993.00","-78972.00","134820.00"
"1120101","111","3","2438","翔耀實業股份有限公司","光電業","-0.18","新台幣                 10.0000元","181801.00","-15062.00","9853.00","-7785.00"
"1120101","111","3","2439","美律實業股份有限公司","通信網路業","5.10","新台幣                 10.0000元","25073296.00","656189.00","906501.00","1258242.00"
"1120101","111","3","2440","太空梭高傳真資訊科技(股)公司","電子零組件業","-0.17","新台幣                 10.0000元","2423009.00","19375.00","-18515.00","-23166.00"
"1120101","111","3","2441","超豐電子股份有限公司","半導體業","5.04","新台幣                 10.0000元","12912096.00","3244498.00","424633.00","2869359.00"
"1120101","111","3","2442","新美齊股份有限公司","電腦及週邊設備業","0.27","新台幣                 10.0000元","515544.00","32717.00","50787.00","65591.00"
"1120101","111","3","2443","昶虹國際股份有限公司","其他","-0.57","新台幣                 10.0000元","18676.00","-68552.00","-15752.00","-84304.00"
"1120101","111","3","2444","兆勁科技股份有限公司","通信網路業","0.81","新台幣                 10.0000元","1225409.00","50699.00","53503.00","82752.00"
"1120101","111","3","2449","京元電子股份有限公司","半導體業","4.36","新台幣                 10.0000元","27932433.00","7137505.00","-155663.00","5448270.00"
"1120101","111","3","2450","神腦國際企業股份有限公司","通信網路業","1.91","新台幣                 10.0000元","22666084.00","284559.00","312381.00","491301.00"
"1120101","111","3","2451","創見資訊股份有限公司","半導體業","5.61","新台幣                 10.0000元","9522337.00","1249807.00","2035455.00","2408389.00"
"1120101","111","3","2453","凌群電腦股份有限公司","資訊服務業","1.54","新台幣                 10.0000元","3987410.00","140132.00","46889.00","150310.00"
"1120101","111","3","2454","聯發科技股份有限公司","半導體業","62.95","新台幣                 10.0000元","440601946.00","108702197.00","5801710.00","100110619.00"
"1120101","111","3","2455","全新光電科技股份有限公司","通信網路業","2.75","新台幣                 10.0000元","2097562.00","516679.00","100058.00","507695.00"
"1120101","111","3","2457","飛宏科技股份有限公司","電子零組件業","0.04","新台幣                 10.0000元","10164806.00","-178877.00","237024.00","13785.00"
"1120101","111","3","2458","義隆電子股份有限公司","半導體業","7.39","新台幣                 10.0000元","11066381.00","2765286.00","-60851.00","2022100.00"
